UMAP1,UMAP2
2.8992932,4.2496595
3.3422318,4.5060687
3.0328026,5.18291
4.9560065,3.9407506
3.2135646,3.9830852
2.136841,4.657018
3.7926903,5.887021
2.431598,4.410886
3.7616298,3.6007152
3.9599142,4.605825
3.1462986,3.7263458
3.468496,4.9904957
3.8596787,3.4129188
3.8962028,6.107792
3.5460556,5.670391
4.0631356,6.6764593
3.3896315,4.3753586
3.2656014,5.4642663
3.2388551,3.6945229
3.1091077,5.003313
3.3465083,3.4511838
3.6352925,5.8050017
4.3746595,5.987143
3.061907,3.474049
3.3287604,4.7666135
3.2121081,3.419953
1.7731189,4.4768186
2.872967,4.856249
0.34371492,3.6947327
0.42298257,3.7272503
0.8471077,3.968052
0.71309334,3.5236034
0.1598078,2.528456
0.45194075,2.8891737
0.581769,3.4961934
0.2884686,3.25435
0.8598197,4.019631
0.17415911,3.43188
-0.059183676,3.624632
0.49627516,2.86893
1.0395646,3.0356035
0.16367204,3.6302812
0.7064364,3.3034704
0.09716248,2.5206285
0.024156885,2.5492892
-0.05411884,3.5729494
0.20439179,2.6908479
0.027660543,2.6439142
0.72974825,3.9345548
0.007880679,2.5738451
0.30427635,2.7342453
0.61369497,3.8192556
-0.08905679,3.352796
0.46553093,3.6399627
0.63213426,3.178832
0.5153783,3.0103936
0.38271788,3.7937016
0.31024718,2.621265
-0.08591347,3.3239663
0.12619564,2.444901
0.77433634,3.201741
0.9433938,4.0626554
0.79812974,3.2330701
9.5365715,3.3232758
7.7878966,2.500684
8.396245,1.5435288
9.424222,3.2526832
8.355113,1.4899505
10.018811,3.4780118
9.506536,4.3688655
9.256347,3.635071
9.366755,4.205514
9.397901,3.9616199
7.7777553,2.3948655
5.4712605,3.3593879
5.585029,2.9534445
8.533575,2.8362198
8.165573,2.9641426
8.119488,1.7952818
8.010711,1.9368017
8.879727,3.0335763
9.732722,3.0413296
9.243896,3.0669448
8.876585,4.275446
9.619977,1.9449544
9.477456,2.7056084
8.194125,2.0128198
9.309864,4.265347
7.826067,2.8607717
9.342787,2.3537078
9.106923,4.438076
5.6116166,3.0052934
7.4259157,2.321006
8.387312,1.5824513
9.992501,3.2763603
9.427008,3.1430824
8.060504,2.148024
9.318215,2.1874788
